year,riskgrp,age_desc,ben_1524,count,emp_info_1yr,emp_place_1yr,emp_skill_1yr,emp_ws_1yr,emp_other_1yr,emp_1yr,emp_info_5yr,emp_place_5yr,emp_skill_5yr,emp_ws_5yr,emp_other_5yr,emp_5yr,emp_ys_1yr,emp_ysneetyts_1yr,emp_ysypypp_1yr,emp_ys_5yr,emp_ysneetyts_5yr,emp_ysypypp_5yr,x_gender_desc
2015,3,15-19,1,3138,75,15,159,0,0,2301,114,27,213,0,21,2502,2244,372,2202,2475,1008,2385,Female
2015,3,20-24,0,1752,141,18,45,0,30,201,597,240,270,60,150,1005,0,0,0,294,246,72,All
2015,3,20-24,0,876,63,0,21,0,12,90,294,108,126,24,81,501,0,0,0,159,123,45,Female
2015,3,20-24,0,876,75,0,27,0,15,111,300,132,147,36,69,504,0,0,0,135,123,24,Male
2015,3,20-24,1,1752,138,18,45,0,30,201,597,240,273,60,153,1005,0,0,0,294,246,72,All
2015,3,20-24,1,876,63,0,18,0,12,87,294,108,126,24,81,501,0,0,0,159,123,45,Female
2015,3,20-24,1,876,78,0,24,0,18,111,300,132,147,36,69,501,0,0,0,135,120,24,Male
2015,4,15-19,0,13401,402,123,84,90,30,3231,510,177,108,135,45,4305,2760,1902,1203,4032,3165,1806,All
2015,4,15-19,0,13401,399,123,84,90,30,3231,507,177,105,135,45,4305,2760,1902,1203,4032,3165,1803,Male
2015,4,15-19,1,2718,372,111,84,84,30,1641,462,153,105,105,42,2172,1209,447,1047,1935,1230,1452,All
2015,4,15-19,1,2718,375,111,84,84,30,1641,462,153,105,105,42,2169,1209,447,1050,1935,1230,1452,Male
2015,4,20-24,0,5016,285,33,249,0,30,555,1269,465,1053,84,225,2853,21,0,21,1173,591,759,All
2015,4,20-24,0,4881,273,33,243,0,30,540,1212,438,1029,78,213,2757,21,0,21,1143,570,750,Female
2015,4,20-24,0,132,12,0,0,0,0,15,57,27,24,0,0,93,0,0,0,27,21,12,Male
2015,4,20-24,1,5013,288,36,246,0,30,555,1269,462,1053,84,225,2853,21,0,21,1173,591,759,All
2015,4,20-24,1,4881,276,33,243,0,30,540,1212,435,1029,78,213,2757,21,0,21,1146,570,750,Female
2015,4,20-24,1,132,12,0,0,0,0,15,60,27,24,0,0,93,0,0,0,27,21,12,Male
2015,5,15-19,0,18507,723,174,222,108,69,5562,873,228,282,135,105,7122,4797,2736,2670,6660,4737,3648,All
